,No. of features,Decision Tree,KNN,Random Forest,XGBoost
0,16,0.8798623238518054,0.9064852820656256,0.8976469251078644,0.9853346399646135
1,15,0.8800260022152109,0.9061187678264935,0.8989049665775635,0.9850190786561329
2,14,0.8806007381131964,0.9049898405818751,0.8974898370585735,0.9850044559404102
3,13,0.8819200397392842,0.9042728794830154,0.8963105362501308,0.9846445310473575
4,12,0.879476453111885,0.8977255959506074,0.894831648825677,0.9835704780412697
5,11,0.8745318456040939,0.8973646190429558,0.8910246611803767,0.9826024176825591
6,10,0.8660130882006094,0.8974002795985305,0.887236354357106,0.9774314394231307
7,9,0.868339987783249,0.8934334124930061,0.8868474852676238,0.9772836294498083
8,8,0.868500380676827,0.8934507501370383,0.8940981096820082,0.9772061134896186
9,7,0.8679870981426252,0.8808043020704426,0.8916416204330446,0.9740797718426755
10,6,0.8591982058562235,0.8792425020040049,0.8779459055862743,0.9667414683360983
11,5,0.8522594157182741,0.8776137891997301,0.873464122264175,0.9625665148904027
12,4,0.8313300042271747,0.8488869816846407,0.8617405869548633,0.9398941625931467
13,3,0.8087977961246068,0.8309814010463107,0.8654164804822629,0.8846885797388209
14,2,0.7252140664421769,0.7049579901510594,0.7755418039297844,0.7420820641822221
15,1,0.5072071943818762,0.5060053039857902,0.5072071943818762,0.5072071943818762
